 ,std dev,average,worst case
default controller,15.065277224541369,15.563517915309447,47.0
delayed based,4.870144087219097,4.340390879478828,15.3
RL Controller,14.408980848604767,9.226171875,79.9
Predicted Time,4.062631523073725,3.0325423728813554,13.2
